,Foot,Hand,Nose,Skin
ERR503789,0.026148766,0.9112927,0.008476973,0.18167228
ERR504025,0.2416229,0.09025797,0.59616596,0.016292155
ERR503758,0.050779045,0.04162717,0.8954017,0.008438975
ERR503841,0.6722299,0.21630579,0.08340272,0.013422012
ERR503724,0.23303652,0.1727503,0.45745546,0.023744285
ERR502977,0.50771517,0.34865677,0.017880827,0.115724325
ERR504216,0.29630956,0.3134976,0.16548371,0.13210055
ERR503919,0.11288142,0.05720547,0.8142568,0.006881386
ERR503846,0.04606107,0.05104515,0.8989526,0.0050531924
ERR503393,0.76337093,0.16545838,0.0064453185,0.109297544
ERR503084,0.2483229,0.36101365,0.14639485,0.16535586
ERR504349,0.18844402,0.51349056,0.09481999,0.17558303
ERR504106,0.07411376,0.045428336,0.84628963,0.013863146
ERR503848,0.14081305,0.091275394,0.65361327,0.030695349
ERR504431,0.016760021,0.03138438,0.96531826,0.0014553368
ERR504050,0.03478396,0.006459236,0.96438277,0.008968115
ERR503899,0.09026489,0.0817188,0.7739533,0.011717379
ERR503214,0.49560526,0.44692826,8.3595514e-05,0.049484074
ERR504108,0.057133585,0.39580232,0.43784744,0.029084593
ERR503834,0.008988351,0.47555515,0.7616836,0.003007263
ERR503751,0.063325495,0.8013065,0.1362432,0.028962374
ERR503497,0.7536479,0.11276218,0.00227499,0.25917298
ERR504263,0.19974345,0.21630904,0.40116936,0.05477625
ERR503268,0.016336769,0.0060825646,0.9895774,0.0012571812
ERR503441,0.5310404,0.42297912,5.0514936e-05,0.042054027
ERR503020,0.11080977,0.037220955,0.8569447,0.0089178085
ERR503787,0.8776771,0.061998516,6.765127e-05,0.07298273
ERR503490,0.14346477,0.05463472,0.7923881,0.006891042
ERR504264,0.16232371,0.0019771457,0.9835837,0.00034162402
ERR503519,0.56860816,0.4372027,5.0485134e-05,0.028345674
ERR504436,0.09082878,0.2842704,0.53586286,0.014679223
ERR504340,0.2717447,0.31685174,0.16402292,0.16137785
ERR503213,0.1575763,0.27312237,0.35744357,0.067596465
ERR503565,0.65548724,0.34428966,2.5898218e-05,0.023374885
ERR503302,0.8512136,0.07728469,0.00012645125,0.097737014
ERR503763,0.12708735,0.19189891,0.5329609,0.025725603
ERR503474,0.3252837,0.098858476,0.50517184,0.016842097
ERR504146,0.0034434795,0.22711554,0.9384947,0.0011152625
ERR504251,0.52597153,0.13353837,0.23468122,0.059849113
ERR503408,0.88218415,0.0637801,0.02739039,0.09313503
ERR504403,0.4092323,0.22800407,0.22913885,0.018971741
ERR503581,0.17700398,0.14899197,0.5573018,0.018085688
ERR503226,0.3414498,0.22161418,0.28712595,0.046002567
ERR503647,0.46233243,0.17131376,0.24153763,0.057284564
ERR503379,0.17739376,0.4901172,0.13103437,0.14745966
ERR503718,0.8406602,0.095234096,0.0003426671,0.12934121
ERR503557,0.48831367,0.32104668,0.009757578,0.18257621
ERR503305,0.21373594,0.15885165,0.48503843,0.026901841
ERR503959,0.00010949373,0.00056937337,0.999957,3.1590462e-06
ERR504287,0.30991036,0.49010625,0.011776328,0.17991629
ERR503716,0.24104375,0.25992048,0.34901273,0.030235767
ERR503401,0.6524827,0.20892927,0.03642103,0.100491524
ERR503873,0.0003003478,0.020789593,0.99844027,6.207824e-05
ERR502994,0.707772,0.24898201,0.0008378327,0.0873107
ERR503138,0.015701473,0.0036964118,0.9957497,0.00013446808
ERR504133,0.33991584,0.7358455,0.023731798,0.0069387853
ERR503559,0.23885193,0.20860773,0.3823534,0.044263005
ERR504583,0.055020034,0.025619686,0.92858696,0.004930377
ERR503588,0.34234375,0.36428183,0.03230661,0.27106395
ERR504300,0.100984514,0.45826066,0.2978499,0.042124897
ERR504476,0.1357126,0.08440682,0.6750821,0.028813362
ERR504289,0.17428732,0.4265813,0.2081761,0.1030027
ERR503525,0.86500126,0.06197241,2.8371811e-05,0.051823586
ERR503282,0.14942804,0.056622356,0.7819618,0.007094413
ERR503986,0.34156996,0.730177,0.039620966,0.0056094825
ERR503632,0.05228129,0.046593428,0.90413946,0.004679829
ERR504307,0.34653425,0.3685339,0.023471892,0.2945944
ERR504010,0.30552197,0.30010265,0.22450006,0.045020312
ERR504148,0.9158538,0.047936857,0.00024104118,0.10646489
ERR503143,0.33977544,0.28732222,0.18300685,0.08735177
ERR503285,0.027118444,0.017944902,0.95620066,0.005030811
ERR503254,0.67695093,0.31762773,6.636977e-05,0.03434038
ERR503981,0.44368783,0.35247362,0.1037215,0.021905035
ERR503711,0.4168961,0.39174932,0.0013121068,0.18409279
ERR503067,0.9338821,0.04184103,0.013373524,0.09375727
ERR503406,0.008111417,0.09894109,0.9603668,0.00072708726
ERR503698,0.63848,0.12637734,0.14809558,0.09167522
ERR504555,0.2247344,0.36802018,0.2554447,0.033797592
ERR503228,0.5975872,0.19893429,0.10348731,0.076908946
ERR503990,9.88543e-05,0.21673298,0.99281776,0.00026685
ERR504188,0.4198845,0.20287693,0.23394153,0.0600048
ERR503183,0.17483571,0.1824443,0.42830688,0.09156281
ERR503624,0.3555795,0.20688567,0.27961433,0.05626142
ERR504159,0.32013014,0.12795478,0.44777656,0.024856508
ERR503941,0.44696432,0.2757532,0.10844475,0.109467894
ERR504538,0.26130283,0.20191753,0.31623125,0.11330497
ERR504001,0.17895398,0.28029937,0.3527274,0.04709485
ERR503658,0.15388623,0.29531097,0.27433527,0.15336478
ERR504125,0.4246059,0.2750634,0.16525942,0.025937468
ERR503689,0.050309807,0.2994128,0.5088568,0.039384246
ERR503076,0.010504663,0.0024380684,0.9865624,0.0053620934
ERR503865,0.0013308525,0.99814963,3.516674e-06,0.001867801
ERR503361,0.2699228,0.29958856,0.27011347,0.019267261
ERR504122,0.27422634,0.5106891,0.06875974,0.099134356
ERR503071,0.81028926,0.044377506,0.011107475,0.5428514
ERR503410,0.017376006,0.008364618,0.99084806,0.0003554225
ERR502985,0.60187143,0.20441759,0.0014943182,0.24617228
ERR503366,0.03164789,0.0027492344,0.99365234,0.00035730004
ERR504249,0.20672089,0.57743084,0.11277887,0.021821529
ERR503242,0.34080303,0.4399295,0.094196826,0.017491072
ERR503155,0.20121053,0.29021424,0.29008412,0.08297786
ERR503946,0.5150224,0.025569975,0.63412696,0.008510143
ERR504298,0.26705655,0.34317642,0.108632684,0.2410613
ERR503651,0.17975587,0.102353096,0.6205022,0.020502388
ERR503934,0.63975924,0.19751802,0.020270884,0.18777397
ERR504415,0.14364594,0.36711246,0.32907462,0.037075818
ERR503709,0.027696073,0.02680239,0.94614655,0.004733652
ERR504296,0.14205176,0.19479334,0.5141017,0.026302129
ERR503948,0.7378206,0.1949656,0.00052165985,0.10674149
ERR504469,0.1119858,0.019226521,0.92469984,0.0017867088
ERR504240,0.11380294,0.6852113,0.1355092,0.04776895
ERR504536,0.5778789,0.4174946,1.0102987e-05,0.014029145
ERR503004,0.43131047,0.49956068,0.004671067,0.07813224
ERR504318,0.5206039,0.10198355,0.29876143,0.047556102
ERR503656,0.34277648,0.24517,0.23042902,0.07897976
ERR504073,4.9114227e-05,0.16161707,0.8972408,0.0022900105
ERR503078,0.75373805,0.124293774,0.00066661835,0.20013672
ERR504412,0.49960333,0.10489726,0.33483106,0.026928842
ERR504275,0.31199288,0.4158239,0.09643635,0.10722977
ERR503481,2.0861626e-07,1.9967556e-06,0.99999994,0.0
ERR503450,0.4627656,0.4020213,0.06322563,0.043183863
ERR503822,0.13515761,0.60774827,0.12922981,0.098490834
ERR504209,0.27007705,0.5491187,0.00702098,0.18516934
ERR504097,0.38841432,0.17285156,0.30749834,0.005415261
ERR502968,0.18126711,0.15562278,0.51018476,0.033856362
ERR504351,0.08405459,0.05842203,0.80906904,0.015400946
ERR504427,0.10886106,0.2505972,0.4157862,0.08239192
ERR503205,0.03840962,0.20803195,0.7276934,0.0092127025
ERR504090,0.2580708,0.27378923,0.28228813,0.060191154
ERR503888,0.0006502867,0.005516261,0.9991526,4.8965216e-05
ERR504504,0.39184114,0.16055092,0.33627695,0.0019516647
ERR503279,0.14177349,0.051374972,0.8020569,0.006976694
ERR503740,0.21219161,0.46856502,0.1437411,0.10196382
ERR503825,0.42596325,0.5631179,2.7745962e-05,0.025510967
ERR503791,0.28562543,0.40343487,0.12922287,0.0987913
ERR503044,0.31399408,0.45849687,0.04020366,0.1488297
ERR503973,0.03226745,0.059737414,0.89027905,0.0075691044
ERR503160,0.29743195,0.64823985,4.068017e-05,0.031942487
ERR503974,0.004730642,0.0809665,0.9675021,0.001023531
ERR503270,0.01747027,0.21282423,0.8238764,0.0048506856
ERR504484,1.9669533e-06,1.1712313e-05,0.99999976,0.0
ERR504455,0.19661307,0.16302809,0.49701372,0.027382731
ERR503798,0.0081683695,0.14481348,0.92066956,0.0022840798
ERR504110,0.092096865,0.037464112,0.8829286,0.004146874
ERR503092,0.7106586,0.27835625,0.00035578012,0.033642262
ERR503354,0.00087982416,0.0004336238,0.9998532,1.5169382e-05
ERR502966,0.14633834,0.1405622,0.63442355,0.008392781
ERR503385,0.19175148,0.51267904,0.14175215,0.090581834
ERR503043,0.7451944,0.23374751,0.00033310056,0.06758258
ERR504048,0.52335286,0.1390565,0.2440468,0.037918985
ERR504470,0.64958894,0.32509106,1.66893e-06,0.005191952
ERR503809,0.7236061,0.22398862,0.054492444,0.020726621
ERR503142,0.39037204,0.07363117,0.49659035,0.004355073
ERR504149,0.37736604,0.20027134,0.2724557,0.055011988
ERR503523,0.004954219,0.07854062,0.97096574,0.0008918941
ERR503980,0.693823,0.28980607,2.4735928e-06,0.006480634
ERR503255,0.007869989,0.06039852,0.9539443,0.003908336
ERR502992,0.88677907,0.05717233,4.774332e-05,0.061933637
ERR503875,0.224083,0.5168207,0.15601078,0.0033525527
ERR503407,0.39489296,0.13473687,0.36789072,0.030870557
ERR503699,0.39322984,0.36317036,0.08638382,0.09732303
ERR503229,0.06577501,0.4291569,0.3429818,0.05383256
ERR504585,0.6386319,0.2762274,0.0034152567,0.11737099
ERR503139,0.29195094,0.096844345,0.5260437,0.02460894
ERR504553,0.2586664,0.40711385,0.05326724,0.27269012
ERR503558,1.7881393e-07,2.1457672e-06,1.0,0.0
ERR504301,0.544986,0.46133015,4.324317e-05,0.026342213
ERR503145,0.20295659,0.03633493,0.8049752,0.0058944523
ERR503524,0.23315808,0.26939476,0.3109197,0.055583686
ERR504259,0.0,0.031639785,0.5491605,0.009982973
ERR503378,0.00010102987,0.00017732382,0.99998623,9.834766e-07
ERR504373,0.27908784,0.18280563,0.38632345,0.039780945
ERR503719,0.32785714,0.40641367,0.0327653,0.22987026
ERR504405,0.8013797,0.098205656,0.095418125,0.020196736
ERR503765,0.22514078,0.47115445,0.07066986,0.19965583
ERR504479,0.43748754,0.41237652,0.0015474558,0.09402642
ERR504286,0.46432868,0.321265,0.001077801,0.20601967
ERR503958,0.31720346,0.20969284,0.30434272,0.06364536
ERR503762,0.14999714,0.39069247,0.30498105,0.030288875
ERR503014,0.053548247,0.038789034,0.9066779,0.0056770444
ERR503475,0.32775682,0.30688232,0.17019588,0.0926708
ERR504250,0.15282515,0.26912147,0.4086752,0.040893108
ERR504196,0.33691403,0.20136154,0.31495893,0.044332176
ERR503697,0.18989953,0.074832976,0.6918983,0.010657847
ERR503130,0.20412305,0.23718947,0.33862972,0.07920098
ERR503923,0.0046545863,0.053015083,0.97802055,0.00074765086
ERR503580,0.598194,0.39293975,1.2755394e-05,0.016693652
ERR503757,0.021262914,0.012798935,0.9824336,0.0009256005
ERR503336,0.75350416,0.12569878,0.00044763088,0.175289
ERR503518,0.023795426,0.009369105,0.9743819,0.0039609373
ERR503179,0.008770496,0.0033180714,0.9964204,0.0003030002
ERR502978,0.12322155,0.16557199,0.5490867,0.044256687
ERR503673,0.23616332,0.6484591,0.0015415251,0.11734438
ERR504219,0.2707761,0.52669567,0.10997304,0.019907713
ERR503564,0.09528911,0.031416625,0.8819109,0.007819682
ERR503105,0.13919845,0.77534926,0.0060852766,0.11353397
ERR504397,0.001835674,0.001093626,0.99955225,3.835559e-05
ERR504051,0.27915865,0.27353138,0.2608266,0.071457714
ERR504080,0.031595767,0.023685664,0.9333333,0.009869099
ERR503898,0.45375106,0.35168713,0.0012953877,0.18311018
ERR503215,0.22573,0.20509925,0.38546526,0.057668716
ERR503835,0.17054793,0.33157775,0.37860045,0.012663066
ERR503750,0.44485885,0.46894604,0.011551559,0.029922009
ERR503496,0.22747359,0.35430253,0.21684816,0.092170835
ERR503331,0.46227804,0.5786022,0.0059999824,0.008894175
ERR503269,0.49817723,0.37477314,0.003124684,0.13703495
ERR504262,0.024702787,0.09422788,0.9182973,0.001742065
ERR503435,0.32457083,0.4109363,0.014041603,0.27017456
ERR503847,0.27638113,0.18733266,0.36002594,0.064766645
ERR504348,0.013767749,0.006766796,0.9924583,0.00036516786
ERR503343,0.060074747,0.05115059,0.8843744,0.0044656396
ERR503028,0.00519675,0.07586905,0.96789783,0.0011947751
ERR503498,0.3986469,0.12443268,0.38665524,0.015624136
ERR504493,0.38301182,0.1410124,0.3665256,0.031599045
ERR503267,0.4527866,0.14862746,0.31522727,0.001650691
ERR503511,0.6272148,0.2367881,0.0014151335,0.120017916
ERR503170,0.42034325,0.3844235,0.1062004,0.0053467453
ERR504024,0.62696934,0.38804573,0.00036138296,0.019990236
ERR503338,0.931085,0.042715818,0.0073150396,0.12081924
ERR503964,0.13356853,0.26354837,0.37903732,0.06626397
ERR503395,0.91922015,0.045590967,0.0032429397,0.14943936
ERR503053,0.8891798,0.0515157,3.221631e-05,0.053862393
ERR504089,0.3487624,0.40560713,0.0047073364,0.25397068
ERR503082,0.015937358,0.050808758,0.941457,0.0036747456
ERR503891,0.22507843,0.42943192,0.13269398,0.1450794
ERR503344,4.7683716e-07,3.7252903e-06,1.0,0.0
ERR503975,0.21486747,0.47519207,0.038086027,0.3133162
ERR503507,0.85131395,0.07608813,0.0001026988,0.09050879
ERR503748,0.8975285,0.04584834,2.321601e-05,0.04363033
ERR504322,0.22447166,0.42023474,0.20147225,0.032229006
ERR504454,0.33117324,0.40965748,0.0044355392,0.27720225
ERR503799,0.07436392,0.3848767,0.42801857,0.02457121
ERR504035,0.23256311,0.105002224,0.58129555,0.016447186
ERR503909,4.005432e-05,0.00025188923,0.99998724,7.1525574e-07
ERR504111,0.00026851892,0.0036180615,0.999681,1.6510487e-05
ERR503093,0.05969584,0.3160879,0.46034577,0.04528609
ERR504098,0.55324167,0.30602735,0.01674205,0.12271556
ERR503880,0.32332158,0.2802626,0.21323285,0.07650828
ERR503851,0.106923014,0.31301963,0.48736623,0.010513842
ERR503856,0.72665536,0.090978324,0.004077822,0.40357625
ERR503424,0.124403596,0.10662755,0.675414,0.018484294
ERR503045,0.2215215,0.017390072,0.866629,0.004315138
ERR503276,0.10309848,0.53848064,0.27140006,0.021267176
ERR503458,0.041397363,0.05713156,0.88850665,0.006475985
ERR503039,0.009921581,0.0020967424,0.9980222,8.136034e-05
ERR504032,0.62172955,0.37347916,7.987022e-06,0.010344714
ERR503113,0.173846,0.0051570237,0.9651874,0.00047135353
ERR503204,0.24256623,0.44910768,0.16060275,0.037444234
ERR504091,0.3646594,0.3738266,0.018827766,0.26317012
ERR504357,0.58632296,0.26049262,0.024339974,0.12468487
ERR503889,0.067035764,0.32893988,0.5191601,0.017488897
ERR504421,0.15427276,0.49102324,0.2032445,0.060525656
ERR504386,0.0,0.00034195185,0.994919,0.00022241473
ERR504040,0.06275892,0.6011654,0.2655882,0.028250933
ERR503487,0.38359904,0.4540337,0.0060359538,0.12013179
ERR503456,0.11059743,0.060584903,0.79207647,0.013950884
ERR503790,0.13458061,0.0012533367,0.9886526,0.00044360757
ERR503509,0.83563197,0.0815227,6.830692e-05,0.07764816
ERR504502,0.32280278,0.32150486,0.11519131,0.17827415
ERR504163,0.29798394,0.18896961,0.3643896,0.04355645
ERR503480,0.04048243,0.011740893,0.95952475,0.0050967634
ERR503327,0.01567915,0.97127026,0.00044241548,0.053673774
ERR503823,0.009706497,0.004082471,0.9929669,0.0011541247
ERR503030,0.44784993,0.31590813,0.0020156205,0.2500139
ERR503797,0.16992873,0.37752384,0.22977528,0.13313594
ERR503907,0.74835587,0.2528417,5.0753355e-05,0.02693814
ERR503203,0.6386118,0.30996346,0.034022957,0.0043561757
ERR504208,0.781103,0.18419102,0.0010406077,0.07744068
ERR504350,0.13407901,0.06393865,0.76435447,0.012911171
ERR502969,0.3112129,0.36771923,0.016348273,0.36856598
ERR504426,0.8900615,0.052511007,3.966689e-05,0.05799842
ERR504241,0.4564848,0.19286337,0.24841812,0.00071612
ERR503005,0.10687223,0.14182097,0.6178156,0.026340574
ERR503464,0.32277596,0.43348643,0.029285878,0.20777461
ERR503312,0.31298742,0.27287596,0.22507393,0.07895884
ERR503657,0.068336904,0.073904455,0.8421788,0.005998552
ERR503686,0.4634785,0.2902692,0.06538099,0.1304363
ERR503932,0.010756016,0.01701641,0.9834124,0.0010589659
ERR503418,0.35817713,0.41932288,0.006025374,0.23671106
ERR504413,0.2845245,0.063839436,0.671878,0.0006263852
ERR503596,0.012787223,0.0061230958,0.9652411,0.0150208175
ERR503126,0.68228096,0.1415799,0.0012157261,0.2605314
ERR503935,0.044811904,0.02294746,0.94285244,0.004072666
ERR503998,0.0051656067,0.018648922,0.9890621,0.0006118715
ERR503774,0.29067433,0.25337413,0.30969667,0.006970674
ERR504234,0.25753173,0.34800035,0.14171082,0.1898965
ERR504123,0.3402347,0.39427775,0.021309942,0.26037568
ERR503549,0.053150564,0.07586083,0.8641567,0.005184084
ERR504542,0.045501232,0.19874933,0.71858984,0.009182602
ERR503411,0.7123648,0.27501625,0.00018125772,0.051235557
ERR502984,0.5799741,0.14840624,0.1890262,0.046721637
ERR503243,0.2504098,0.18397611,0.3902905,0.05445534
ERR503622,0.1613011,0.42219734,0.17927149,0.15718049
ERR503535,0.023131669,0.30487826,0.7271029,0.006425649
ERR503292,0.25513792,0.03639531,0.754074,0.00942415
ERR503244,0.12053597,0.27004325,0.44238737,0.032999724
ERR503991,0.14644608,0.14704141,0.62331927,0.008738369
ERR503182,0.00019803643,9.7543e-05,0.9999856,1.2814999e-06
ERR503153,0.2094714,0.1468148,0.50948775,0.02522257
ERR503295,0.46679613,0.17887247,0.23635906,0.05135584
ERR503532,0.25250345,0.29448274,0.2686188,0.057827145
ERR503659,0.10726151,0.021468848,0.9226462,0.0017025471
ERR502983,0.08590096,0.7169483,0.07232407,0.18572739
ERR503360,0.027778804,0.41055027,0.54071665,0.024414212
ERR503701,0.013529688,0.075303316,0.9377507,0.002523899
