,Unknown,root-Engineered-Wastewater,root-Engineered-Wastewater-Activated,root-Engineered-Wastewater-Industrial,root-Engineered-Wastewater-Nutrient,root-Engineered-Wastewater-Water,root-Environmental-Aquatic-Freshwater,root-Environmental-Aquatic-Freshwater-Groundwater-Biofilm,root-Environmental-Aquatic-Freshwater-Lake,root-Environmental-Aquatic-Marine,root-Environmental-Aquatic-Marine-Coastal,root-Environmental-Aquatic-Marine-Coastal-Sediment,root-Environmental-Aquatic-Marine-Cold,root-Environmental-Aquatic-Marine-Hydrothermal,root-Environmental-Aquatic-Marine-Intertidal,root-Environmental-Aquatic-Marine-Marginal,root-Environmental-Aquatic-Marine-Neritic,root-Environmental-Aquatic-Marine-Oceanic,root-Environmental-Aquatic-Marine-Oceanic-Abyssal,root-Environmental-Aquatic-Marine-Oceanic-Aphotic,root-Environmental-Aquatic-Marine-Oceanic-Benthic,root-Environmental-Aquatic-Marine-Oceanic-Oil-contaminated,root-Environmental-Aquatic-Marine-Oceanic-Photic,root-Environmental-Aquatic-Marine-Oceanic-Sediment,root-Environmental-Aquatic-Marine-Oil,root-Environmental-Aquatic-Marine-Oil-contaminated,root-Environmental-Aquatic-Marine-Pelagic,root-Environmental-Aquatic-Marine-Sediment,root-Environmental-Aquatic-Marine-Volcanic,root-Environmental-Aquatic-Marine-Wetlands,root-Environmental-Aquatic-Marine-Wetlands-Sediment,root-Environmental-Aquatic-Non-marine,root-Environmental-Aquatic-Sediment,root-Environmental-Aquatic-Thermal,root-Environmental-Terrestrial-Soil,root-Environmental-Terrestrial-Soil-Agricultural,root-Environmental-Terrestrial-Soil-Boreal,root-Environmental-Terrestrial-Soil-Contaminated,root-Environmental-Terrestrial-Soil-Crop,root-Environmental-Terrestrial-Soil-Crop-Agricultural,root-Environmental-Terrestrial-Soil-Desert,root-Environmental-Terrestrial-Soil-Forest,root-Environmental-Terrestrial-Soil-Grasslands,root-Environmental-Terrestrial-Soil-Loam-Agricultural,root-Environmental-Terrestrial-Soil-Permafrost,root-Environmental-Terrestrial-Soil-Sand,root-Environmental-Terrestrial-Soil-Tropical,root-Environmental-Terrestrial-Soil-Uranium,root-Environmental-Terrestrial-Soil-Wetlands,root-Host-associated-Human,root-Host-associated-Human-Circulatory,root-Host-associated-Human-Digestive,root-Host-associated-Human-Lympathic,root-Host-associated-Human-Reproductive,root-Host-associated-Human-Respiratory,root-Host-associated-Human-Skin,root-Host-associated-Insecta,root-Host-associated-Insecta-Digestive,root-Host-associated-Mammals-Digestive,root-Host-associated-Plants,root-Host-associated-Plants-Phylloplane,root-Host-associated-Plants-Phylloplane-Endophytes,root-Host-associated-Plants-Rhizoplane-Endophytes,root-Host-associated-Plants-Rhizosphere,root-Host-associated-Plants-Rhizosphere-Epiphytes,root-Host-associated-Plants-Rhizosphere-Forest,root-Host-associated-Plants-Rhizosphere-Soil,root-Host-associated-Plants-Root,root-Mixed,Env,SampleID
ERR904476_root-Environmental-Aquatic-Freshwater-Groundwater,0.44951019224227207,0.0035194634757333516,0.003684918089065098,0.053089005996481385,0.06389142595317432,0.0039166180505338394,5.84583315250408e-10,0.0009665211646835133,1.608883326549911e-05,0.00160268442665434,0.009752412781329543,0.00137270458283929,0.0001535861385857123,0.004949572784554465,0.0008764535856082393,0.0,1.6635201555289844e-10,1.9649912408739815e-11,7.84378033878693e-07,1.4937108846206468e-05,0.019907017033243702,0.01487428009220098,0.0014306908542084753,3.920682417618203e-06,4.78605812588672e-05,7.569148888600124e-06,0.001839539635740525,0.0,0.00506476385562726,0.0001241853322167801,0.00032353873444846646,0.007087880352069353,0.002962399184427289,0.0026491107266385355,1.1263934688371408e-05,4.64948565240636e-09,0.0,0.16580659393886,4.59888428130043e-05,0.039560537575206334,0.03002751802270014,0.016205197354842882,0.010918783352755932,1.267845496231518e-07,0.0025592450131704525,5.995846586419495e-08,5.823703945655174e-09,1.83574743888534e-10,1.7978601659117197e-05,4.674992575285021e-05,0.002210724396875834,0.00901654208428973,0.0,2.030365038788497e-14,0.009313084585530007,0.00191986366853515,1.03204444098855e-17,0.0,0.021017527953754576,0.012973079345463401,1.1634146816017887e-05,2.1220442483883988e-07,0.00549314581175564,0.002341693829665789,0.0017970645676261237,0.004193556167818062,1.0460247955274598e-09,1.332430870403118e-06,0.01087035722266899,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904476_root-Environmental-Aquatic-Freshwater-Groundwater
ERR904473_root-Environmental-Aquatic-Freshwater-Groundwater,0.301626811076387,0.0007841080416687491,0.00452997774824139,0.15820795584393005,0.06601139575717392,0.003252748018004956,5.03664061626831e-06,0.006834678896358269,0.0005715843575288542,3.230727727305332e-08,0.0002947198713651668,0.00101989449626924,0.00039092937722186576,0.0035435927325911374,0.005782973401202024,0.0,1.329507521399233e-05,2.8547661912459334e-08,0.00012045142237662685,0.0004485808904729064,0.0014548982502605651,0.05878772612451785,0.0022688406175656456,0.001089093680978907,0.000181311105273456,0.00018476622802947779,0.001191604326163655,0.0,7.106012999991291e-05,0.003195792388692085,0.000899353181767448,0.0011990355239503026,0.0005784648234450594,0.0003787188922022276,0.00030493882735071397,0.0014504160843523649,0.0,0.132410543763905,0.0036030044007033203,0.025641389825109398,0.04362624950276586,0.024664426011248238,0.00953388154774829,0.00029275478284573664,8.42515602205262e-05,4.94186975584609e-05,2.316432752069302e-05,2.14624964673174e-07,0.002830941880000699,1.1033414186155719e-07,0.003094059125819418,0.004577888797533007,0.0,0.0013657669074720418,0.002652565656256041,0.0006008437255585118,2.6282027927031503e-07,9.526564864115877e-12,0.010203589956566096,0.0475830736920857,0.001015915888510523,0.001025596475722956,0.0020265378808620397,0.001290859625533873,0.007428556076995081,0.026791638667682943,0.000377097198635571,0.0026912577920627603,0.017839323758053,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904473_root-Environmental-Aquatic-Freshwater-Groundwater
ERR904479_root-Environmental-Aquatic-Freshwater-Groundwater,0.506444444679728,0.00131297801036351,0.0003435582758485827,0.011675704737471912,0.0526276358661874,0.00590545561856445,5.5961898194585003e-08,0.0003108507486347935,0.0017926257514708022,0.00024887291158200896,0.001659660963475668,0.00128239930323177,1.576629450829455e-05,0.001459944853263083,0.008389752696271126,0.0,1.711912591465324e-10,2.5551497294721575e-08,1.631863982297288e-05,2.328642038144334e-06,0.00080188487154346,0.017445812826094677,0.0037322971146443226,2.114295252116915e-05,5.06386471533294e-06,0.0007666719596066228,0.000359604405551644,0.0,0.000312487328899627,0.00016611786354608918,6.365939923889876e-05,0.0023511055317286056,0.000799119222853197,0.0020029429589599173,0.0022559410969634724,0.0001684831915921699,0.0,0.19819031828083702,0.00455258379863222,0.00917431784111677,0.00444679508706487,0.003408014205536609,0.02531132113206296,4.138446456784097e-05,2.418589489333868e-06,2.976253571067957e-07,8.36173240658368e-09,2.04118168754308e-09,0.00824958758375671,4.822277300505669e-06,0.0003859518729749141,0.012900954503582616,0.0,0.0010340222180674121,0.0009402550295874977,7.221915465518111e-07,2.3677837033317118e-08,1.3576313067325699e-13,0.02119806534916306,0.0320890351186308,0.0008578131072310774,0.00018011359885565872,0.00628927515938835,0.014092124455901087,8.72872163168794e-05,0.00446391634173262,3.814418278327798e-05,0.00018694700040557162,0.0271327634217152,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904479_root-Environmental-Aquatic-Freshwater-Groundwater
ERR904480_root-Environmental-Aquatic-Freshwater-Groundwater,0.5090204374652639,0.001953005868494472,0.003887812883813117,0.03404786406927755,0.0982322007354814,0.0023463989876802297,8.54553546243906e-06,0.004328463440823333,0.00029208296282494855,0.0219041937941528,0.0022362729038015237,0.000210094999993551,1.6636783160656925e-05,0.00012541307169535367,0.004900057972762601,0.0,9.35578751096116e-05,5.1061871660794624e-06,5.11669586889783e-05,8.339661458337555e-05,0.001629681830526444,0.0014919611799663387,0.00023229240532739357,6.092998194519884e-05,2.00162116021387e-05,0.0003612812690899043,0.002202246768715493,0.0,9.688630557311809e-05,7.268690515838821e-05,0.00018499057110398998,0.00036153461908276113,0.00011759408520764121,0.0008223176643527509,0.00018369609911292488,0.001597898318638312,0.0,0.13774704809529598,0.000479192240607668,0.00452513756916036,0.028988914506800415,0.030858722590804744,0.01958700794696892,0.0015388018510323878,0.000126472576285711,0.000149013527106474,0.00024387019641647128,1.3870126725020701e-06,0.00358722143021685,2.21204271787199e-07,0.0001285305410768076,0.0032086229574603336,0.0,4.563555412465737e-07,0.0002825314570552032,0.000685927873259818,8.482403286289008e-07,3.50710119255593e-11,0.010477813331239878,0.0225299793979272,0.0035785861100375007,0.00237396741912751,0.000336689452079716,0.0058928980075136726,6.83900821708143e-05,0.000780940320233749,0.0001759631246565609,0.0011361046231270263,0.027330016598813973,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904480_root-Environmental-Aquatic-Freshwater-Groundwater
ERR904471_root-Environmental-Aquatic-Freshwater-Groundwater,0.462485173289287,4.04159223441685e-05,0.0037768080480027003,0.09414351298281835,0.027638625581295928,0.003735845032446092,3.7718208740297797e-06,0.001166589684239472,0.0037296619006764375,6.0203993715886036e-06,6.0051138043390004e-05,0.000908001296438977,4.5084011076865334e-07,0.000422125847908877,0.0011775558480317835,0.0,2.003388863472909e-08,7.38866976414113e-12,2.813949758796285e-07,8.06291589674135e-07,0.02192620487647563,0.0047920734876005745,2.658542167447848e-06,1.311893154599585e-05,4.65997776934265e-08,0.0015230974623918047,0.000890056780813132,0.0,6.1358028999095e-05,3.31805618978397e-05,3.23797618922454e-05,0.006778814470745676,3.733946889852954e-07,6.731566048423151e-07,5.942904699297013e-06,1.5485057697810666e-06,0.0,0.14683416200144,0.0108044843530867,0.001513445602689773,0.052689343572155656,0.024709378319281966,0.012534383840544476,5.558926394193915e-05,0.00023970420447525092,7.232551264271003e-07,3.59220080919879e-08,1.23001180775149e-09,0.00020752853453904376,9.56298716591497e-10,0.0033404484707145366,0.011269863060109677,0.0,0.000984233293047162,0.004621860855247434,5.8387341317265983e-05,1.3015674357098922e-11,1.9851636833651722e-12,0.008368615251525088,0.01565075251149288,1.8140918756798138e-05,0.00031153980591128465,0.0119010506928777,0.0007371338310863064,0.013190118630655747,0.002327379699956023,2.230485129895691e-07,0.0019709466318001087,0.04030328006058596,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904471_root-Environmental-Aquatic-Freshwater-Groundwater
ERR904474_root-Environmental-Aquatic-Freshwater-Groundwater,0.329333430419316,0.001987401789330428,0.0026429105374928975,0.05000208109592569,0.06651537390664108,0.0006035931434170488,5.6108609702303204e-14,0.0005956528992975338,0.0074073754848248755,6.58531751100691e-11,0.00030224315613874495,0.0006872142406457281,5.490972825801906e-07,0.0009617312106668872,0.0029291801714192824,0.0,6.378694440738066e-11,2.8419905048094443e-13,7.095461048552914e-11,5.47250418522211e-10,0.001724127167279986,0.02487862357779539,0.0014234144406743599,2.482862739501097e-06,0.000322335849939272,2.9084639302462966e-05,0.002283869850388054,0.0,4.99753711737432e-06,5.71491361754411e-05,2.819860672989761e-05,0.0006348686204046602,0.00018595477681072642,1.1607075021442049e-05,3.7239199355259092e-06,3.80572455539534e-08,0.0,0.319461383994807,0.00437251194491184,0.00201106833016262,0.00928361414155867,0.0022940286690772377,0.03427721346097822,2.240384840232841e-06,6.462024815742824e-10,2.087187274940571e-09,3.087615170656473e-12,1.64838386744358e-12,0.0011426014562616142,1.1767744627326553e-06,1.1873993077862178e-05,0.005393832900182503,0.0,0.0003488807998793909,0.0010802856259023563,7.475706359449978e-07,3.326915364321117e-05,1.0286939140557974e-24,0.0035222803870484628,0.01920613859991805,0.0003026744748587776,0.0002924490297644771,0.0138213922799297,0.005142992860147089,0.0013158164015638456,1.132130963173991e-06,5.71302745578624e-06,4.704414855903804e-06,0.0811107604368433,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904474_root-Environmental-Aquatic-Freshwater-Groundwater
ERR904475_root-Environmental-Aquatic-Freshwater-Groundwater,0.5961901043106921,0.0038849924439947094,0.0002784195556468987,0.07063397576034475,0.041788297000479493,0.008236571376816132,1.0974382123818001e-08,0.003196840770811229,0.000859949652484667,2.6660288543089503e-05,0.002611910610610764,1.5696819938008403e-05,1.3964295316909519e-08,0.0029693587085070105,0.00015873075378237115,0.0,1.046399013979575e-07,1.7327540207497266e-07,6.5124013672718545e-06,9.0257260065923e-08,0.015350694843437832,0.01054616905310348,0.0009600517687327356,1.4631545209435356e-05,2.45653088045252e-06,4.580142810312572e-07,9.221227104139516e-06,0.0,7.0769653095229e-06,0.00040928674457718704,2.1055603587496748e-06,0.01396828387699174,0.0005415608188093768,5.05748113039457e-06,0.007845753750411827,9.32446040778125e-07,0.0,0.124075818195187,0.00173025228521602,0.01232044244192705,0.009646902585210315,0.004169686698562255,0.014315103526786103,2.479214076960612e-05,6.197646812625887e-06,3.286640769457113e-07,4.88705365715463e-07,9.92941424726934e-10,0.004189299955946308,1.7942768054059452e-09,0.0009599918201685868,0.0008896975459977183,0.0,9.37085402606561e-10,0.006404551397240333,0.0011050510221622548,4.88485586334229e-09,3.1639435367857062e-15,0.002519578410156349,0.00739476485496768,0.00011414092546641589,1.3887944100157472e-05,0.000958315162363065,0.018012799060433685,0.0016192691225516709,0.006725880791693091,6.53069247328238e-05,5.114349771118961e-05,0.0021641458735941997,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904475_root-Environmental-Aquatic-Freshwater-Groundwater
ERR904481_root-Environmental-Aquatic-Freshwater-Groundwater,0.458027777676051,0.002282873526205534,0.0040012600872175695,0.010962277109226815,0.031874481848713374,0.0074893769803519705,2.56271404355272e-07,0.003309356299720177,0.0009242519589778721,0.00024620287032000443,0.001005584806639529,0.0028859694387900698,5.342649213351361e-05,0.00016943379630133266,0.00955856671178462,0.0,6.987669648549951e-06,3.5482711866201093e-06,1.84226754136997e-06,8.716529375998191e-05,0.013820169476245852,0.013556952429376884,0.0015152285328915937,4.252636281833197e-05,2.01249016953394e-06,0.001211521250744119,6.33835534306358e-05,0.0,7.01279472339297e-06,0.00011010607822161188,0.0001248442483478852,0.0035097594398752164,9.369805282772816e-05,0.000933003516365116,0.0013439043496553235,0.0038992776745487294,0.0,0.13172527847951,0.00480341412580427,0.00826784622069893,0.012217971159733509,0.022665208844367853,0.027210017901951097,0.0007436634934499157,6.355275642721063e-05,6.80324660531803e-05,3.49956664611646e-06,3.79733710600118e-06,0.00446280231758167,9.76405871290668e-07,0.004219537894538442,0.005254522280844181,0.0,0.0010613973694577898,0.006596893017325306,0.0008378839976809821,5.437971092880778e-07,3.397323730023126e-11,0.04486403552549678,0.0449981969083213,0.0185045875576796,0.001694191815093903,0.0130631477054359,0.009026831396037839,0.000806228013310726,0.00419519216442621,0.0001844397396234317,0.001063651525928772,0.0582686185562988,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904481_root-Environmental-Aquatic-Freshwater-Groundwater
ERR904478_root-Environmental-Aquatic-Freshwater-Groundwater,0.49803428738129707,0.003305580407341361,0.013684963760726091,0.02005332736256379,0.087029701923324,0.005241679023031475,7.74522773870047e-06,0.007386599030207802,0.01354964116761077,4.8176244332553295e-05,0.00027993883220808915,0.00420947076904015,1.6133293312722814e-05,8.782323225258247e-05,0.002347426825692865,0.0,0.0032923307556753704,6.190531369157209e-08,0.0012935423433339903,0.000969224117308874,0.0011067699820544257,0.0007269680842033598,0.0033015090529729656,9.49939511550604e-05,9.029572897406391e-05,0.003240573758433407,5.467733137858739e-06,0.0,6.9731688387552e-05,0.0001358790568061276,9.19475319101777e-05,0.012150963757356841,0.0009001758671195028,0.0014146710656295419,0.001002972490006508,0.005791263183148345,0.0,0.10441528811827401,0.000410812717368028,0.00406717385118703,0.04923043495856211,0.010003482409550284,0.00934887338695586,0.000602608507286987,4.584094535776176e-05,0.00016394962166023976,5.508252294178121e-05,8.02285135208042e-06,7.87716850297133e-05,3.7542395670107505e-05,1.9451163339726508e-07,0.006953377755830085,0.0,3.648664255334592e-07,0.021759709142228995,0.001003863440538073,7.806819046588402e-07,0.0,0.013057510868656046,0.02454820133021709,0.0011486013247694281,0.0023774024362107015,0.0109797439159312,0.031620219144369945,0.0037283160884157627,0.00433131744364937,0.00386181299526628,0.0022433126675216928,0.0029555508816281107,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904478_root-Environmental-Aquatic-Freshwater-Groundwater
ERR904472_root-Environmental-Aquatic-Freshwater-Groundwater,0.32079962643054305,0.0036763573602486637,2.559806297100821e-05,0.021061919558008332,0.11227900366372698,0.0023947001940891896,3.11588775901565e-06,0.0009705657196592186,0.0012115676096461896,0.004868273473211789,0.0018544246968380752,1.9048248482246302e-05,3.5756682342918986e-07,3.3837298102857913e-06,0.0014668025036451184,0.0,6.939844938692681e-06,1.545641063174689e-08,4.2604718987922465e-07,6.80543977105343e-08,0.011035480861168477,0.0007847071495901678,2.2746557299115136e-05,5.5670109793818504e-06,2.7087312100268396e-07,7.422981575098254e-10,0.0002534685877873386,0.0,2.60634090432235e-09,0.0003521376612401684,2.32668451773045e-08,0.002198310506840283,7.77223239391941e-06,3.96215892915742e-05,3.752920191314628e-07,8.063658766791557e-06,0.00020394263399384698,0.218278796949349,0.00256097780290647,0.003646107101100644,0.014282692196227924,0.04295530901055696,0.016862054481579163,5.15336825202808e-05,0.00021606742123930441,1.3765534659583339e-06,1.487476326652475e-07,2.1176148829142897e-10,4.989149783727313e-06,1.1735835802502814e-08,2.734227793302677e-06,0.0002858786199412051,0.0,5.952798700053073e-10,0.0002641144676895543,5.054549044714879e-06,2.8707942228821556e-11,3.9347147026262295e-15,0.032378685344887456,0.02788217629637245,0.0008642199770716458,0.000434114743825531,0.0171349497560175,0.03257564289159081,0.0004603108288264124,0.002447568705031231,5.9464391467466284e-05,0.0003965793511802418,0.10039375484293461,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904472_root-Environmental-Aquatic-Freshwater-Groundwater
ERR904477_root-Environmental-Aquatic-Freshwater-Groundwater,0.5819661826777289,0.00824050931096351,0.001669458894118044,0.00927232921723116,0.033560050330951136,0.0014351677025986316,0.0,0.00179936018727581,0.03189529995468392,0.000361518730561258,0.00744665755700752,0.000713639992331988,5.420449968350613e-05,0.0006753253667439753,0.024845797793734206,0.0,7.624346835946174e-07,6.315883793017991e-05,0.00015326500255829622,6.84093490885077e-05,0.00017394562108537785,0.010974109518453049,2.9456889408985497e-05,0.00018797851288821247,0.000208369612972746,0.00024291952911591037,0.009408764226982488,0.0,5.64956613354194e-05,0.00014876582181171688,0.00019380233312440252,0.0002153214126833444,0.0017362437535002988,0.0002712139137028103,0.0016529718610108482,0.0003724790479583451,0.0,0.15021844973154902,0.000181211691203424,0.001115303468676889,0.001329893121067634,0.003047491293622854,0.05159660750961209,1.9488552361825537e-06,1.2866468361271949e-06,0.00012138555233168832,9.598288718046477e-09,4.87477304740706e-05,7.750968493865232e-05,5.4183484006028504e-08,1.917476925572449e-06,0.0038423486152117095,0.0,3.4402255564815505e-07,0.0028985809616001368,7.119576798409511e-08,1.1891363620428801e-05,0.0,0.008372602623951819,0.01091314373430586,0.0004893920032059634,0.002981208254142575,0.0035009340566857197,0.019276639457837284,0.003553104945772097,0.000655236626787975,0.000264758004183392,0.00039717295966325863,0.005006819074552481,root-Environmental-Aquatic-Freshwater-Groundwater,ERR904477_root-Environmental-Aquatic-Freshwater-Groundwater
